index,budget,genres,id,popularity,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count
59,200000000,Action Adventure Science Fiction,14161,45.274225,10/10/2009,769653595,158,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""hi"", ""name"": ""\u0939\u093f\u0928\u094d\u0926\u0940""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""bo"", ""name"": """"}]",2012,5.6,4903
60,200000000,Animation Drama,17979,39.744242,11/4/2009,325233863,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A Christmas Carol,6.6,1095
61,176000003,Science Fiction Fantasy Action Adventure,76757,85.36908,2/4/2015,183987723,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Jupiter Ascending,5.2,2768
62,180000000,Action Adventure,258489,42.741719,6/29/2016,356743061,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Legend of Tarzan,5.5,2430
63,180000000,Adventure Family Fantasy,411,67.391328,12/7/2005,748806957,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
64,178000000,Science Fiction,246655,139.272042,5/18/2016,543934787,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",X-Men: Apocalypse,6.4,4721
65,185000000,Drama Action Crime Thriller,155,187.322927,7/16/2008,1004558444,152,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",The Dark Knight,8.2,12002
66,175000000,Animation Comedy Family Adventure,14160,92.201962,5/13/2009,735099082,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Up,7.7,6870
67,175000000,Animation Family Adventure Science Fiction,15512,36.167578,3/19/2009,381509870,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Monsters vs Aliens,6,1423
68,140000000,Action Science Fiction Adventure,1726,120.725053,4/30/2008,585174222,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fa"", ""name"": ""\u0641\u0627\u0631\u0633\u06cc""}, {""iso_639_1"": ""ur"", ""name"": ""\u0627\u0631\u062f\u0648""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}]",Iron Man,7.4,8776
69,170000000,Adventure Drama Family,44826,32.319043,11/22/2011,185770160,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Hugo,7,2141
70,170000000,Action Adventure Comedy Science Fiction Western,8487,40.748915,6/29/1999,222104681,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Wild Wild West,5.1,1020
71,145000000,Adventure Action Fantasy,1735,60.034162,7/1/2008,401128639,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""sa"", ""name"": """"}]",The Mummy: Tomb of the Dragon Emperor,5.2,1387
72,175000000,Action Adventure Crime Fantasy Science Fiction,297761,90.23792,8/2/2016,745000000,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Suicide Squad,5.9,7458
73,175000000,Fantasy Comedy Family,2698,27.082182,6/9/2007,173000000,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Evan Almighty,5.3,1151
74,178000000,Action Science Fiction,137113,79.456485,5/27/2014,370541256,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Edge of Tomorrow,7.6,4858
75,175000000,Adventure Action,9804,44.640292,7/28/1995,264218220,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Waterworld,5.9,992
76,175000000,Adventure Action Thriller Science Fiction,14869,32.852443,8/4/2009,302469017,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""gd"", ""name"": """"}]",G.I. Joe: The Rise of Cobra,5.6,1962
77,175000000,Drama Comedy Animation Family,150540,128.655964,6/9/2015,857611174,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Inside Out,8,6560
78,175000000,Family Adventure Drama Fantasy,278927,94.199316,4/7/2016,966550600,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Jungle Book,6.7,2892
79,200000000,Adventure Action Science Fiction,10138,77.300194,4/28/2010,623933331,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Iron Man 2,6.6,6849
80,170000000,Adventure Fantasy Drama,58595,77.178973,5/30/2012,396600000,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Snow White and the Huntsman,5.8,3118
81,180000000,Fantasy Adventure Action Family Romance,102651,110.620647,5/28/2014,758539785,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Maleficent,7,4496
82,170000000,Science Fiction Action Drama Thriller,119450,243.791743,6/26/2014,710644566,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Dawn of the Planet of the Apes,7.3,4410
83,27000000,Action Adventure Science Fiction Romance,79698,2.418535,2/13/2015,0,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Lovers,4.8,34
84,175000000,Drama Action Adventure Fantasy,64686,41.796339,12/6/2013,150962475,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",47 Ronin,5.9,1326
85,170000000,Action Adventure Science Fiction,100402,72.225265,3/20/2014,714766572,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Captain America: The Winter Soldier,7.6,5764
86,165000000,Comedy Adventure Fantasy Animation Family,10192,44.041186,5/16/2010,752600867,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Shrek Forever After,6,1959
87,190000000,Adventure Family Mystery Science Fiction,158852,130.311355,5/19/2015,209154322,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Tomorrowland,6.2,2846
88,165000000,Adventure Family Animation Action Comedy,177572,203.73459,10/24/2014,652105443,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Big Hero 6,7.8,6135
89,165000000,Family Animation Comedy Adventure,82690,62.341073,11/1/2012,471222889,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Wreck-It Ralph,7.1,4570
90,165000000,Adventure Animation Family Fantasy,5255,47.323228,11/10/2004,305875730,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Polar Express,6.4,1474
91,165000000,Action Adventure Science Fiction,47933,48.775723,6/22/2016,389681935,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Independence Day: Resurgence,4.9,2491
92,165000000,Fantasy Adventure Animation Family,10191,67.263269,3/5/2010,494878759,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",How to Train Your Dragon,7.5,4227
93,200000000,Action Thriller Science Fiction,296,69.405188,7/2/2003,435000000,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Terminator 3: Rise of the Machines,5.9,2143
94,170000000,Action Science Fiction Adventure,118340,481.098624,7/30/2014,773328629,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Guardians of the Galaxy,7.9,9742
95,165000000,Adventure Drama Science Fiction,157336,724.247784,11/5/2014,675120017,169,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Interstellar,8.1,10867
96,160000000,Action Thriller Science Fiction Mystery Adventure,27205,167.58371,7/14/2010,825532764,148,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Inception,8.1,13752
97,15000000,Action Adventure Drama Horror Science Fiction,315011,9.476999,7/29/2016,77000000,120,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Shin Godzilla,6.5,143
98,250000000,Adventure Fantasy Action,49051,108.849621,11/26/2012,1021103568,169,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Hobbit: An Unexpected Journey,7,8297
99,38000000,Action Crime Thriller,9799,6.909942,6/22/2001,207283925,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Fast and the Furious,6.6,3428
100,150000000,Fantasy Drama Thriller Mystery Romance,4922,60.269279,11/24/2008,333932083,166,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Curious Case of Benjamin Button,7.3,3292
101,160000000,Action Science Fiction Adventure,49538,3.195174,5/24/2011,353624124,132,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",X-Men: First Class,7.1,5181
102,160000000,Action Adventure Science Fiction,131634,127.284427,11/18/2015,653428261,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Hunger Games: Mockingjay - Part 2,6.6,3984
103,150000000,Fantasy Adventure Action Comedy Drama,27022,35.580815,7/13/2010,215283742,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Sorcerer's Apprentice,5.8,1470
104,160000000,Adventure Action Drama Thriller,503,21.133748,5/12/2006,181674817,99,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Poseidon,5.5,583
105,170000000,Fantasy,241259,56.268916,5/25/2016,299370084,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Alice Through the Looking Glass,6.5,1725
106,160000000,Fantasy Adventure Animation Comedy Family,810,42.986467,5/17/2007,798958165,93,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Shrek the Third,6,2278
107,160000000,Action Adventure Fantasy,68735,63.148529,5/25/2016,433677183,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Warcraft,6.3,2268
108,155000000,Science Fiction Action Thriller Adventure,87101,202.042635,6/23/2015,440603537,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Terminator Genisys,5.8,3631
109,155000000,Adventure Family Fantasy,10140,49.661984,8/13/2010,415686217,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
110,140000000,History Romance War,676,34.20669,5/21/2001,449220945,183,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Pearl Harbor,6.6,1791
111,150000000,Adventure Science Fiction Action,1858,25.468493,6/27/2007,709709780,144,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Transformers,6.6,4040
112,155000000,War History Action Adventure Drama,1966,39.019229,11/21/2004,167298192,175,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Alexander,5.6,927
113,150000000,Adventure Fantasy Family Mystery,675,78.144395,6/28/2007,938212738,138,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Harry Potter and the Order of the Phoenix,7.4,5494
114,150000000,Adventure Fantasy Family,674,101.250416,11/5/2005,895921036,157,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Harry Potter and the Goblet of Fire,7.5,5608
115,150000000,Fantasy Action,8960,56.758411,7/1/2008,624029371,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Hancock,6.2,2961
116,150000000,Drama Horror Action Thriller Science Fiction,6479,70.867401,12/14/2007,585349010,101,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",I Am Legend,6.9,4853
117,150000000,Adventure Comedy Family Fantasy,118,53.905592,7/13/2005,474968763,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Charlie and the Chocolate Factory,6.7,3624
118,150000000,Animation Comedy Family Fantasy,2062,65.677399,6/22/2007,623722818,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Ratatouille,7.5,4369
119,150000000,Action Crime Drama,272,115.040024,6/10/2005,374218673,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ur"", ""name"": ""\u0627\u0631\u062f\u0648""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Batman Begins,7.5,7359
120,150000000,Family Animation,10527,44.141021,10/30/2008,603900354,89,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Madagascar: Escape 2 Africa,6.2,1810
121,150000000,Adventure Fantasy Action Comedy Family,18360,81.781591,5/20/2009,413106170,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Night at the Museum: Battle of the Smithsonian,5.9,1971
122,150000000,Adventure Action Thriller Science Fiction,2080,5.954334,4/28/2009,373062864,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",X-Men Origins: Wolverine,6.2,4021
